id	Length	Description
NRRL3_06764	1650	nucleolar complex protein 4-like protein
NRRL3_06765	735	ATP synthase, F0 complex, subunit B, mitochondrial
NRRL3_06766	1131	tetratricopeptide-like helical domain-containing protein
NRRL3_06767	1911	bZIP transcription factor
NRRL3_06768	1359	zinc finger domain-containing protein, CCCH-type
NRRL3_06769	1152	transcription initiation factor IIF subunit beta-like protein
NRRL3_06770	1251	COP9 signalosome complex subunit 4
NRRL3_06771	1065	hypothetical protein
NRRL3_06772	1452	aldehyde dehydrogenase domain-containing protein
NRRL3_06773	1902	flavocytochrome c-like protein
NRRL3_06774	1080	hypothetical protein
NRRL3_06775	1419	protein phosphatase PP2A regulatory subunit 
NRRL3_06776	4836	transcriptional repressor Sin3, C-terminal domain-containing protein
NRRL3_06777	1578	acetyl-CoA hydrolase
NRRL3_06778	852	short-chain dehydrogenase/reductase family protein
NRRL3_06779	246	hypothetical protein
NRRL3_06780	1887	glycoside hydrolase family 17 protein
NRRL3_06781	3921	zinc finger domain-containing protein, ZZ-type
NRRL3_06782	1113	endo-polygalacturonase Pga28A
NRRL3_06783	1539	major facilitator superfamily short-chain carboxylic acid transporter
NRRL3_06784	1938	potassium transporter Trk-like protein
NRRL3_06785	846	hypothetical protein
NRRL3_06786	1314	universal stress protein A-like protein
NRRL3_06787	4425	eukaryotic translation initiation factor 4G domain-containing protein
NRRL3_06788	630	hypothetical protein
NRRL3_06789	972	TB2/DP1/abscisic acid-responsive HVA22 family protein
NRRL3_06790	999	transport and Golgi organization protein 2-like protein
NRRL3_06791	1554	glycoside hydrolase family 5 protein
NRRL3_06792	1368	alpha/beta hydrolase fold domain-containing protein
NRRL3_06793	1965	fungal-specific transcription factor
NRRL3_06794	1377	major facilitator superfamily protein
NRRL3_06795	1221	fungal-specific transcription factor
NRRL3_06796	1098	aminoglycoside phosphotransferase domain-containing protein
NRRL3_06797	870	resistance to 7-aminocholesterol Rta-like protein
NRRL3_06798	867	resistance to 7-aminocholesterol Rta-like protein
NRRL3_06799	1620	beta-lactamase-related protein
NRRL3_06800	4374	alpha-factor-transporting ATPase-like protein
NRRL3_06801	21201	non-ribosomal peptide synthetase
NRRL3_06802	3324	ankyrin repeat domain-containing protein
NRRL3_06803	1707	nucleoside phosphorylase domain-containing protein
NRRL3_06804	1224	uncharacterized protein
NRRL3_06805	1497	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_06806	405	hypothetical protein
NRRL3_06807	1707	CocE/serine esterase family protein
NRRL3_06808	813	EthD domain-containing protein
NRRL3_06809	1074	alcohol dehydrogenase domain-containing protein
NRRL3_06810	2466	fungal-specific transcription factor
NRRL3_06811	324	hypothetical protein
NRRL3_06812	861	trans-aconitate 2-methyltransferase C-terminal domain-containing protein
NRRL3_06813	459	FAD-binding domain-containing protein
NRRL3_06814	4590	nucleoside phosphorylase domain-containing protein
NRRL3_06814a1	846	ankyrin repeat domain-containing protein
NRRL3_06815	1821	hypothetical protein
NRRL3_06816	474	dienelactone hydrolase domain-containing protein
NRRL3_06817	933	NmrA-like domain-containing protein
NRRL3_06818	798	short-chain dehydrogenase/reductase family protein
NRRL3_06819	1287	uncharacterized protein
NRRL3_06820	741	short-chain dehydrogenase/reductase family protein
NRRL3_06821	2010	fungal-specific transcription factor
NRRL3_06822	1548	cytochrome P450
NRRL3_06823	2025	biotin-(acetyl-CoA-carboxylase) ligase-like protein
NRRL3_06824	237	hypothetical protein
NRRL3_06825	804	mitochondrial genome maintenance protein
NRRL3_06826	2877	mechanosensitive ion channel MscS-like protein
NRRL3_06827	594	hypothetical protein
NRRL3_06828	1527	cytochrome P450
NRRL3_06829	1332	COMT-type O-methyltransferase family protein
NRRL3_06830	1620	delta 8-(E)-sphingolipid desaturase
NRRL3_06831	1503	low affinity iron permease Fet4-like protein
NRRL3_06832	738	short-chain dehydrogenase/reductase family protein
NRRL3_06833	1371	peptidase S8/S53 domain-containing protein
NRRL3_06834	1662	F-box domain-containing protein
NRRL3_06835	1155	alcohol dehydrogenase domain-containing protein
NRRL3_06836	1476	major facilitator superfamily, sugar transporter-like protein
NRRL3_06837	1035	carbon-nitrogen hydrolase domain-containing protein
NRRL3_06838	1776	fungal-specific transcription factor
NRRL3_06839	1497	major facilitator superfamily, sugar transporter-like protein
NRRL3_06840	870	hypothetical protein
NRRL3_06841	1170	nucleoside phosphorylase domain-containing protein
NRRL3_06842	1086	glycoside hydrolase family 128 protein
NRRL3_06843	1578	beta-1,3-glucanosyltransferase
NRRL3_06844	618	glutathione S-transferase and glutathione peroxidase
NRRL3_06845	1602	amino acid/polyamine transporter I family protein
NRRL3_06846	1110	hypothetical protein
NRRL3_06847	918	L-amino acid amidase
NRRL3_06848	1350	hypothetical protein
NRRL3_06849	705	histidine phosphatase superfamily protein, clade 1 
NRRL3_06850	354	hypothetical protein
NRRL3_06851	1629	glycosyltransferase family 1 protein
NRRL3_06852	924	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_06853	1698	cytochrome P450-like protein
NRRL3_06854	903	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_06855	1215	hypothetical protein
NRRL3_06856	1500	cytochrome P450-like protein
NRRL3_06857	1416	N amino acid transport system protein
NRRL3_06858	921	hypothetical protein
NRRL3_06859	282	hypothetical protein
NRRL3_06860	2982	plasma membrane ATPase
NRRL3_06861	2214	fungal-specific transcription factor
NRRL3_06862	948	amidohydrolase-related domain-containing protein
NRRL3_06863	2397	fungal-specific transcription factor
NRRL3_06864	681	ribonuclease E inhibitor RraA-like protein
NRRL3_06865	2379	aconitate hydratase, mitochondrial
NRRL3_06866	1623	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_06867	903	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_06868	1176	hypothetical protein
NRRL3_06869	1497	cytochrome P450-like protein
NRRL3_06870	861	fungal lipase-like domain-containing protein
NRRL3_06871	441	hypothetical protein
NRRL3_06872	4587	STAND N-terminal Goodbye domain-containing protein
NRRL3_06873	1956	GMC oxidoreductase
NRRL3_06874	1215	phytanoyl-CoA dioxygenase-like protein
NRRL3_06875	1866	hypothetical protein
NRRL3_06876	1665	zinc finger domain-containing protein, RING-type
NRRL3_06877	1404	aminotransferase class I and II family protein
NRRL3_06878	1068	SNARE-complex protein Syntaxin-18, N-terminal domain-containing protein
NRRL3_06879	1578	Phox and Bem1, PB1 domain-containing protein
NRRL3_06880	744	superoxide dismutase 1 copper chaperone
NRRL3_06881	1410	serine/threonine-protein kinase
NRRL3_06882	1620	hypothetical protein
NRRL3_06883	939	RNA recognition motif domain-containing protein
NRRL3_06884	1539	protein arginine methyltransferase NDUFAF7-like protein
NRRL3_06885	426	Cdc25-like phosphatase
NRRL3_06886	663	37S ribosomal protein bS21m
NRRL3_06887	1068	hypothetical protein
NRRL3_06888	1662	glucose-6-phosphate isomerase
NRRL3_06889	2295	PWI domain-containing protein
NRRL3_06890	1359	L-galactonic acid dehydratase GaaB
NRRL3_06891	735	mitochondrial import inner membrane translocase subunit Tim21
NRRL3_06892	1428	Arf-GAP family protein
NRRL3_06893	756	hypothetical protein
NRRL3_06894	1704	folate synthesis bifunctional protein, mitochondrial
NRRL3_06895	1068	nitronate monooxygenase domain-containing protein
NRRL3_06896	453	polyketide cyclase SnoaL-like domain-containing protein
NRRL3_06897	1449	cytochrome P450-like protein
NRRL3_06898	1623	amino acid/polyamine transporter I family protein
NRRL3_06899	1533	purine-cytosine permease
NRRL3_06900	1173	hypothetical protein
NRRL3_06901	1698	heat shock protein 70 family protein
NRRL3_06902	867	eukaryotic translation initiation factor 3 subunit G
NRRL3_06903	1926	Ndt80 DNA-binding domain-containing protein
NRRL3_06904	591	hypothetical protein
NRRL3_06905	207	hypothetical protein
NRRL3_06906	2112	long chain fatty acyl-CoA synthetase
NRRL3_06907	1026	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_06908	1359	hypothetical protein
NRRL3_06909	2001	heat shock protein 70
NRRL3_06910	2331	WD repeat-containing protein 
NRRL3_06911	3879	antiviral helicase Ski2
NRRL3_06912	3138	importin beta N-terminal domain-containing protein
NRRL3_06913	774	inositol hexaki-/heptaki-phosphate kinase
NRRL3_06914	960	hypothetical protein
NRRL3_06915	3519	carbamoyl-phosphate synthase, large subunit
NRRL3_06916	1446	zinc finger, MYND-type and SET domain-containing protein
NRRL3_06917	462	40S ribosomal protein uS19
NRRL3_06918	333	60S acidic ribosomal protein P2
NRRL3_06919	1047	chromatin Spt2-like protein 
NRRL3_06920	1113	ATP-dependent (S)-NAD(P)H-hydrate dehydratase
NRRL3_06921	360	hypothetical protein
NRRL3_06922	2424	DNA replication licensing factor Mcm7
NRRL3_06923	3645	peroxisome biogenesis factor 1-like protein
NRRL3_06924	1755	glycine-rich domain-containing protein
NRRL3_06925	1071	hypothetical protein
NRRL3_06926	1704	AMP-dependent synthetase/ligase domain-containing protein
NRRL3_06927	825	NAD(P)-binding domain-containing protein
NRRL3_06928	3411	hypothetical protein
NRRL3_06929	2385	hypothetical protein
NRRL3_06930	960	D-galacturonate reductase
NRRL3_06931	948	inositol oxygenase
NRRL3_06932	1068	oxidoreductase domain-containing protein
NRRL3_06933	1608	transmembrane protein 135-like protein
NRRL3_06934	7173	Tor kinase
NRRL3_06935	1005	ketoreductase
NRRL3_06936	1377	37S ribosomal protein Mrp51, mitochondrial
NRRL3_06937	420	40S ribosomal protein eS17
NRRL3_06938	1002	RNA polymerase II-binding Rtr1/RPAP2 family protein
NRRL3_06939	3639	SH3 domain-containing protein
NRRL3_06940	1230	pre-mRNA splicing factor Cwc25-like protein
NRRL3_06941	2121	AP complex subunit beta-like protein
NRRL3_06942	561	ER membrane protein complex subunit 4
NRRL3_06943	1461	kynureninase
NRRL3_06944	711	iron-sulfur cluster assembly protein-like protein
NRRL3_06945	1431	eukaryotic translation initiation factor 3 subunit L
NRRL3_06946	450	golgi apparatus membrane protein Tvp18
NRRL3_06947	1335	tetratricopeptide-like helical domain-containing protein
NRRL3_06948	963	hypothetical protein
NRRL3_06949	984	AdipoR/haemolysin-III-related protein
NRRL3_06950	1098	fungal-specific transcription factor
NRRL3_06951	912	short-chain dehydrogenase/reductase family protein
NRRL3_06952	1272	protein kinase domain-containing protein
NRRL3_06953	2418	protein kinase, involved in mRNA cis splicing
NRRL3_06954	207	translation machinery associated protein 7
NRRL3_06955	1734	hypothetical protein
NRRL3_06956	510	heme binding protein, involved in ergosterol biosynthesis and azole resistance
NRRL3_06957	1584	uncharacterized protein
NRRL3_06958	897	PQ-loop repeat-containing protein
NRRL3_06959	369	nuclear transport factor 2
NRRL3_06960	2430	SWAP/SURP domain-containing protein
NRRL3_06961	1260	F-box domain-containing protein
NRRL3_06962	2133	hypothetical protein
NRRL3_06963	426	hypothetical protein
NRRL3_06964	738	dolichol-phosphate mannosyltransferase
NRRL3_06965	984	uncharacterized protein
NRRL3_06966	2271	WD repeat-containing protein 
NRRL3_06967	1005	hypothetical protein
NRRL3_06968	2601	vacuolar protein sorting-associated protein 35-like protein
NRRL3_06969	3519	stress response protein
NRRL3_06970	1746	AMP-dependent synthetase/ligase domain-containing protein
NRRL3_06971	1647	amino acid/polyamine transporter I family protein
NRRL3_06972	723	HAD-like domain-containing protein
NRRL3_06973	1263	FAD-binding domain-containing protein
NRRL3_06974	600	GTP-binding protein Rho2
NRRL3_06975	528	54S ribosomal protein mL40
NRRL3_06976	1446	E3 ubiquitin-protein ligase MARCH-like protein
NRRL3_06977	2073	large subunit of acetolactate synthase, involved in branched-chain amino acid biosynthesis under hypoxic conditions
NRRL3_06978	1575	galactokinase
NRRL3_06979	1242	ribonuclease H2 subunit B-like protein
NRRL3_06980	2418	zinc finger domain-containing protein, Mcm10/DnaG-type
NRRL3_06981	1344	hypothetical protein
NRRL3_06982	768	DASH complex subunit Duo1-like protein
NRRL3_06983	585	uncharacterized protein
NRRL3_06984	2997	SH3 and F-BAR domain-containing protein
NRRL3_06985	7023	CCR4-NOT transcription complex subunit Not1 domain-containing protein
NRRL3_06986	1191	seipin family protein
NRRL3_06987	2289	tubulin-tyrosine ligase/tubulin polyglutamylase family protein
NRRL3_06988	747	hypothetical protein
NRRL3_06989	1095	alpha/beta hydrolase fold domain-containing protein
NRRL3_06990	660	NACHT-NTPase and P-loop NTPase, N-terminal domain-containing protein 
NRRL3_06991	798	multi antimicrobial extrusion family protein
NRRL3_06992	543	protein kinase-like domain-containing protein
NRRL3_06993	1146	hypothetical protein
NRRL3_06994	1113	peroxisomal membrane protein 14-like protein
NRRL3_06995	2241	kinetochore protein Ndc80-like protein
NRRL3_06996	3063	hypothetical protein
NRRL3_06997	2661	fungal-specific transcription factor
NRRL3_06998	1572	hypothetical protein
NRRL3_06999	1005	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_07000	1326	FAD-dependent oxidoreductase domain-containing protein
NRRL3_07001	789	TATA box-binding protein
NRRL3_07002	1920	4Fe-4S ferredoxin-type, iron-sulphur binding domain-containing protein
NRRL3_07003	906	RNA recognition motif domain-containing protein
NRRL3_07004	1053	dihydroneopterin aldolase/epimerase domain-containing protein
NRRL3_07005	1749	protein kinase domain-containing protein
NRRL3_07006	2994	uncharacterized protein
NRRL3_07007	2352	fungal-specific transcription factor
NRRL3_07008	1662	cyclin, N-terminal domain-containing protein
NRRL3_07009	1329	transcription elognation factor Eaf, N-terminal domain-containing protein
NRRL3_07010	1506	conserved oligomeric Golgi complex subunit 8-like protein
NRRL3_07011	1857	histidine phosphatase superfamily protein, clade 1 
NRRL3_07012	1365	cyclin Pho80-like protein
NRRL3_07013	3327	forkhead domain-containing protein
NRRL3_07014	783	prolyl 4-hydroxylase subunit alpha domain-containing protein
NRRL3_07015	1236	cAMP-dependent protein kinase regulatory subunit PkaR
NRRL3_07016	1950	carbohydrate-binding module family 48 protein
NRRL3_07017	240	hypothetical protein
NRRL3_07018	417	hypothetical protein
NRRL3_07019	1404	phosphoesterase domain-containing protein
NRRL3_07020	894	vacuolar ion transporter
NRRL3_07021	399	hypothetical protein
NRRL3_07022	1320	inositol phosphorylceramide synthase catalytic subunit
NRRL3_07023	1869	phospholipid:diacylglycerol acyltransferase
NRRL3_07024	690	GNAT domain-containing protein
NRRL3_07025	2469	hypothetical protein
NRRL3_07026	1554	peroxin/ferlin domain-containing protein
NRRL3_07027	891	kinetochore protein Mis14-like protein
NRRL3_07028	969	Sec14 cytosolic factor 
NRRL3_07029	2343	GTPase-activating protein
NRRL3_07030	1143	hypothetical protein
NRRL3_07031	624	protein tyrosine phosphatase-like protein
NRRL3_07032	2349	exosome-associated factor Rrp6, N-terminal domain-containing protein
NRRL3_07033	243	mitochondrial distribution and morphology protein 35
NRRL3_07034	2163	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1-like protein
NRRL3_07035	2838	DNA mismatch repair protein
NRRL3_07036	1479	DNA replication factor Cdt1, C-terminal domain-containing protein
NRRL3_07037	384	hypothetical protein
NRRL3_07038	1971	C2H2 finger domain transcription factor
NRRL3_07039	1428	conserved oligomeric Golgi complex subunit 5-like protein
NRRL3_07040	924	class II aldolase/adducin family protein
NRRL3_07041	663	integral membrane protein Sys1-related protein
NRRL3_07042	348	cytochrome c oxidase assembly factor 6
NRRL3_07043	2757	anticodon-binding domain-containing protein
NRRL3_07044	804	peptide chain release factor class I/class II domain-containing protein
NRRL3_07045	1182	U3 small nucleolar RNA-associated protein 6-like protein
NRRL3_07046	2850	calcofluor white hypersensitive protein
NRRL3_07047	759	hypothetical protein
NRRL3_07048	804	hypothetical protein
NRRL3_07049	3048	cleavage and polyadenylation specificity factor subunit 2-like protein
NRRL3_07050	543	thaumatin-like protein, role in early conidial germination
NRRL3_07051	3030	protein transport protein Sec23/Sec24 domain-containing protein
NRRL3_07052	1932	heterokaryon incompatibility domain-containing protein
NRRL3_07053	1554	amino acid/polyamine transporter I family protein
NRRL3_07054	1995	fungal-specific transcription factor
NRRL3_07055	687	hypothetical protein
NRRL3_07056	1359	gluconate transport inducer 1/Pac2 family protein
NRRL3_07057	1686	transferase family protein
NRRL3_07058	1632	asparagine-tRNA ligase, mitochondrial
NRRL3_07059	3021	RNA recognition motif domain-containing protein
NRRL3_07060	1083	MYST-type histone acetyltransferase domain-containing protein
NRRL3_07061	1623	T-complex protein 1 subunit zeta
NRRL3_07062	1560	nucleolar protein 56
NRRL3_07063	846	hypothetical protein
NRRL3_07064	591	cytochrome c oxidase protein 20-like protein
NRRL3_07065	6702	DNA polymerase epsilon catalytic subunit
NRRL3_07066	1194	essential calcium/calmodulin-dependent protein kinase
NRRL3_07067	972	AMMECR1-like protein
NRRL3_07068	1839	Ecd family protein
NRRL3_07069	3675	pericentrin/AKAP-450 centrosomal targeting domain-containing protein
NRRL3_07070	1305	vacuolar protein sorting-associated protein 4
NRRL3_07071	372	prefoldin subunit 6
NRRL3_07072	1563	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
NRRL3_07073	624	mediator of RNA polymerase II transcription subunit 9-like protein
NRRL3_07074	1416	serine hydroxymethyltransferase, cytosolic 
NRRL3_07075	1659	prenylcysteine oxidase-like protein
NRRL3_07076	1323	programmed cell death protein 2, C-terminal domain-containing protein
NRRL3_07077	756	eukaryotic translation initiation factor 3 subunit K
NRRL3_07078	903	delta(7)-sterol 5(6)-desaturase
NRRL3_07079	1848	fungal-specific transcription factor
NRRL3_07080	2430	glycoside hydrolase family 92 protein
NRRL3_07081	1167	adenosine/AMP deaminase-like protein
NRRL3_07082	690	cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG-like protein
NRRL3_07083	1284	hypothetical protein
NRRL3_07084	705	hypothetical protein
NRRL3_07085	1092	glycoside hydrolase family 16 protein
NRRL3_07086	3315	bifunctional cytochrome P450/NADPH--P450 reductase
NRRL3_07087	1296	hypothetical protein
NRRL3_07088	1431	flavin monooxygenase-like protein
NRRL3_07089	2370	alpha-L-fucosidase
NRRL3_07090	945	polyprenyl transferase
NRRL3_07091	1011	hypothetical protein
NRRL3_07092	438	protein kinase domain-containing protein
NRRL3_07093	765	short-chain dehydrogenase/reductase family protein
NRRL3_07094	1209	endo-1,5-alpha-arabinanase
NRRL3_07095	2406	fungal-specific transcription factor
NRRL3_07096	879	actin patches distal protein 1-like protein
NRRL3_07097	1674	DNA replication regulator Sld2
NRRL3_07098	1092	zinc finger domain-containing protein, RING-type
NRRL3_07099	1698	uncharacterized protein
NRRL3_07101	1698	caffeine resistance protein
NRRL3_07102	798	factor-induced gene 1 protein-like protein 
NRRL3_07103	2277	exonuclease 1-like protein
NRRL3_07104	537	translation machinery-associated protein 16-like protein
NRRL3_07105	933	mitochondrial glycoprotein family protein
NRRL3_07106	1521	beta-lactamase-related protein
NRRL3_07107	1545	DNA primase small subunit
NRRL3_07108	2235	mucin-like domain-containing protein
NRRL3_07109	1605	threonine synthase
NRRL3_07110	1080	alcohol dehydrogenase domain-containing protein
NRRL3_07111	2067	tryptophan synthase
NRRL3_07112	2247	AP complex subunit beta-like protein
NRRL3_07113	1089	hypothetical protein
NRRL3_07114	672	sulfhydryl oxidase
NRRL3_07115	3639	coatomer subunit alpha, involved in the establishment and maintenance of polarized growth
NRRL3_07116	654	hypothetical protein
NRRL3_07117	1395	hypothetical protein
NRRL3_07118	1596	phytase-like domain-containing protein
NRRL3_07119	1212	tubulin-specific chaperone C-like protein
NRRL3_07120	3015	six-bladed beta-propeller, TolB-like domain-containing protein
NRRL3_07121	855	PQ-loop repeat-containing protein
NRRL3_07122	1203	hypothetical protein
NRRL3_07123	3285	uncharacterized protein
NRRL3_07124	2238	protein kinase-like domain-containing protein
NRRL3_07125	1179	fungal-specific transcription factor
NRRL3_07126	699	AAA-type ATPase family protein
NRRL3_07127	516	hypothetical protein
NRRL3_07128	897	zinc finger domain-containing protein, C2H2-type
NRRL3_07129	378	hypothetical protein
NRRL3_07129a1	423	hypothetical protein
NRRL3_07130	1008	hypothetical protein
NRRL3_07131	405	hypothetical protein
NRRL3_07132	1296	aminoglycoside phosphotransferase domain-containing protein
NRRL3_07133	483	hypothetical protein
NRRL3_07134	660	hypothetical protein
NRRL3_07135	672	hypothetical protein
NRRL3_07136	501	thioesterase domain-containing protein
NRRL3_07137	1353	hypothetical protein
NRRL3_07138	768	hypothetical protein
NRRL3_07139	426	hypothetical protein
NRRL3_07140	978	ribonuclease H-like domain-containing protein
NRRL3_07141	357	hypothetical protein
NRRL3_07142	1368	aminoglycoside phosphotransferase domain-containing protein
NRRL3_07143	444	hypothetical protein
NRRL3_07144	1341	hypothetical protein
NRRL3_07145	339	protein kinase-like domain-containing protein
NRRL3_07146	984	ribonuclease H-like domain-containing protein
NRRL3_07147	1089	F-box domain-containing protein
NRRL3_07148	867	ankyrin repeat domain-containing protein
NRRL3_07148a1	516	hypothetical protein
NRRL3_07149	1215	hypothetical protein
NRRL3_07150	489	hypothetical protein
NRRL3_07151	951	chitinase
NRRL3_07152	1599	heat shock transcription factor family protein
NRRL3_07153	3765	uncharacterized protein
NRRL3_07154	399	ferric reductase, NAD-binding domain-containing protein
NRRL3_07155	1482	aminotransferase class V domain-containing protein
NRRL3_07156	1059	protein kinase domain-containing protein
NRRL3_07157	774	hypothetical protein
NRRL3_07158	1206	leucine-rich repeat domain-containing protein
NRRL3_07159	3072	helicase, C-terminal domain-containing protein
NRRL3_07160	672	hypothetical protein
NRRL3_07161	4500	hypothetical protein
NRRL3_07161a1	435	hypothetical protein
NRRL3_07162	1449	hypothetical protein
NRRL3_07163	1083	membrane protein Sur7/Rim9 family protein
NRRL3_07164	2823	patatin/phospholipase A2-related domain-containing protein
NRRL3_07165	1902	calcium permeable stress-gated cation channel 1, N-terminal transmembrane domain-containing protein
NRRL3_07166	1734	heterokaryon incompatibility domain-containing protein
NRRL3_07167	1368	major facilitator superfamily protein
NRRL3_07168	1173	hypothetical protein
NRRL3_07169	1551	reverse transcriptase domain-containing protein
NRRL3_07170	807	hypothetical protein
NRRL3_07170a1	243	MADS-box transcription factor
NRRL3_07171	615	hypothetical protein
NRRL3_07172	801	hypothetical protein
NRRL3_07173	747	hypothetical protein
NRRL3_07174	603	hypothetical protein
NRRL3_07175	2079	hypothetical protein
NRRL3_07176	564	hypothetical protein
NRRL3_07177	564	ribonuclease H domain-containing protein
NRRL3_07178	1350	hypothetical protein
NRRL3_07179.2	2094	fungal-specific transcription factor
NRRL3_07180	1026	2-oxoglutarate-Fe(II) type oxidoreductase
NRRL3_07181	1002	oxoglutarate/iron-dependent dioxygenase domain-containing protein
NRRL3_07182	1674	fungal-specific transcription factor
NRRL3_07183	1536	purine-cytosine permease-like protein
NRRL3_07184	1002	oxoglutarate/iron-dependent dioxygenase domain-containing protein
NRRL3_07185	1026	2-oxoglutarate-Fe(II) type oxidoreductase
NRRL3_07186	2094	fungal-specific transcription factor
NRRL3_07187	1350	hypothetical protein
NRRL3_07188	924	ribonuclease H-like domain-containing protein
NRRL3_07189	714	ankyrin repeat domain-containing protein
NRRL3_07190	531	hypothetical protein
NRRL3_07191	696	hypothetical protein
NRRL3_07192	522	hypothetical protein
NRRL3_07193	1656	hypothetical protein
NRRL3_07194	381	hypothetical protein
NRRL3_07195	612	hypothetical protein
NRRL3_07196	3675	reverse transcriptase domain-containing protein
NRRL3_07196a1	744	homeobox-like domain-containing protein
NRRL3_07197	1236	HNH nuclease domain-containing protein
NRRL3_07198	750	hypothetical protein
NRRL3_07199	804	ribonuclease H domain-containing protein
NRRL3_07200	1230	hypothetical protein
NRRL3_07201	495	hypothetical protein
NRRL3_07202	1353	hypothetical protein
NRRL3_07203	768	hypothetical protein
NRRL3_07204	666	protein kinase-like domain-containing protein
NRRL3_07205	984	ribonuclease H-like domain-containing protein
NRRL3_07206	1449	hypothetical protein
NRRL3_07207	978	Tc1-mariner class transposase Ant1
NRRL3_07208	1194	HNH nuclease domain-containing protein
NRRL3_07209	1419	hypothetical protein
NRRL3_07210	435	hypothetical protein
NRRL3_07211	4500	hypothetical protein
NRRL3_07212	672	hypothetical protein
NRRL3_07213	3072	helicase, C-terminal domain-containing protein
NRRL3_07214.2	1206	leucine-rich repeat domain-containing protein
NRRL3_07215	600	glycosyltransferase family 34 protein
NRRL3_07216	1398	hypothetical protein
NRRL3_07217	1440	ribonuclease H domain-containing protein
NRRL3_07218	681	F-box domain-containing protein
NRRL3_07219	843	hypothetical protein
NRRL3_07220	726	BTB/POZ domain-containing protein
NRRL3_07221	1926	F-box domain-containing protein
NRRL3_07222	1722	hypothetical protein
NRRL3_07223	360	hypothetical protein
NRRL3_07224	795	hypothetical protein
NRRL3_07225	1605	hypothetical protein
NRRL3_07226	420	hypothetical protein
NRRL3_07227	285	hypothetical protein
NRRL3_07228	2085	high mobility group box domain-containing protein
NRRL3_07229	1479	UDP-galactopyranose mutase, involved in cell wall biosynthesis
NRRL3_07230	711	short-chain dehydrogenase/reductase family protein
NRRL3_07231	990	pyridoxal reductase
NRRL3_07232	1344	trichothecene 3-O-acetyltransferase
NRRL3_07233	1611	major facilitator superfamily protein
NRRL3_07234	1632	fungal-specific transcription factor
NRRL3_07235	1767	tripeptidyl peptidase
NRRL3_07236	942	NmrA-like domain-containing protein
NRRL3_07237	2439	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
NRRL3_07238	837	26S proteasome non-ATPase regulatory subunit Rpn12-like protein
NRRL3_07239	1263	WD repeat-containing protein 
NRRL3_07240	693	proline racemase family protein
NRRL3_07241	993	short-chain dehydrogenase/reductase family protein
NRRL3_07242	1197	epoxide hydrolase-like protein
NRRL3_07243	1080	oxidation resistance protein 1
NRRL3_07244	2400	vacuolar import and degradation protein 27
NRRL3_07245	1251	tRNA (guanine-N1-)-methyltransferase
NRRL3_07246	360	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13/GRIM-19-like protein
NRRL3_07247	3693	exportin-1/importin-beta domain-containing protein
NRRL3_07248	2289	glycoside hydrolase family 5 protein
NRRL3_07249	4251	tetratricopeptide repeat-containing protein
NRRL3_07250	714	RecQ mediated genome instability protein, N-terminal domain-containing protein
NRRL3_07251	909	vacuolar protein sorting-associated protein 51-like protein
NRRL3_07252	1029	translation Initiation factor eIF- 4e-like protein
NRRL3_07253	2247	zinc finger domain-containing protein, C2H2-type
NRRL3_07254	1950	multicopper oxidase Mco1M
NRRL3_07255	4404	peroxisomal biogenesis factor 6
NRRL3_07256	1554	amino acid/polyamine transporter I family protein
NRRL3_07257	1230	uncharacterized protein
NRRL3_07258	1191	taurine dioxygenase TauD/TfdA domain-containing protein
NRRL3_07259	1305	ubiquitin-conjugating enzyme E2-binding protein-like protein
NRRL3_07260	1152	taurine dioxygenase
NRRL3_07261	1668	major facilitator superfamily protein
NRRL3_07262	315	RmlC-like cupin domain-containing protein
NRRL3_07263	1593	amino acid/polyamine transporter I family protein
NRRL3_07264	1149	hypothetical protein
NRRL3_07265	1044	uncharacterized protein
NRRL3_07266	894	lysophospholipase ANL
NRRL3_07267	834	cleavage and polyadenylation specificity factor subunit 5
NRRL3_07268	3567	A-factor-processing enzyme
NRRL3_07269	480	thaumatin-like protein
NRRL3_07270	2403	histone deacetylase, class 2
NRRL3_07271	1011	glyceraldehyde-3-phosphate dehydrogenase
NRRL3_07272	564	inorganic phosphate transport protein
NRRL3_07273	417	histone H2A.Z
NRRL3_07274	486	hypothetical protein
NRRL3_07275	1821	R3H domain-containing protein
NRRL3_07276	588	hypothetical protein
NRRL3_07277	954	aldo/keto reductase family protein
NRRL3_07278	2391	heat shock transcription factor family protein
NRRL3_07279	1734	peptidyl-prolyl cis-trans isomerase
NRRL3_07280	1026	uncharacterized protein
NRRL3_07281	1431	histidine phosphatase superfamily protein, clade 2 
NRRL3_07282	981	alcohol dehydrogenase [NADP(+)]
